"","Name.of.School","Need.Blind","Need.Blind.1","Need.Blind.2","Need.Blind.3","school"
"1","","(Domestic)","(International)","(Transfer)","(Wait List)Ê",""
"2","Adrian College","Yes","Yes","Yes","","AdrianCollege"
"3","Cal Poly San Luis Obispo","Yes","No","Yes","","CalPolySanLuisObispo"
"4","Columbia University","Yes","No","Yes","","ColumbiaUniversity"
"5","Cooper Union","Yes","No","No","","CooperUnion"
"6","Fairleigh Dickinson University FDU","Yes","Yes","Yes","","FairleighDickinsonUniversityFDU"
"7","Florida State University","Yes","No","Yes","","FloridaStateUniversity"
"8","Harvard Business School","Yes","Yes","Yes","","HarvardBusinessSchool"
"9","Holy Cross","Yes","Yes","Yes","","HolyCross"
"10","Jewish Theological Seminary","Yes","?","Yes","","JewishTheologicalSeminary"
"11","Julliard","Yes","?","?","","Julliard"
"12","Lewis  Clark Collegeï¿½","Yes","No","Yes","","LewisClarkCollege"
"13","Marist College","Yes","No","No","","MaristCollege"
"14","Marlboro College","Yes","No","Yes","","MarlboroCollege"
"15","Mount St Maryï¿½s College","Yes","No","No","","MountStMarysCollege"
"16","North Carolina State University NCSU","Yes","No","Yes","","NorthCarolinaStateUniversityNCSU"
"17","New York University NYU","Yes","No","Yes","","NewYorkUniversityNYU"
"18","Olin College of Engineering","Yes","No","Yes","","OlinCollegeofEngineering"
"19","Penn State","Yes","No","Yes","","PennState"
"20","Providence College","Yes","No","Yes","","ProvidenceCollege"
"21","Salem College","Yes","No","Yes","","SalemCollege"
"22","San Jose State University SJSUï¿½","Yes","No","Yes","","SanJoseStateUniversitySJSU"
"23","Semester at Sea","Yes","Yes",NA,"","SemesteratSea"
"24","Soka University of America","Yes","?","Yes","","SokaUniversityofAmerica"
"25","St Johnï¿½s College","Yes","Yes","Yes","","StJohnsCollege"
"26","State University of New York SUNY College of Environmental Science and Forestry","Yes","No","Yes","","StateUniversityofNewYorkSUNYCollegeofEnvironmentalScienceandForestry"
"27","The College of New Jersey TCNJ","Yes","No","Yes","","TheCollegeofNewJerseyTCNJ"
"28","Thomas Aquinas College","Yes","Yes","Yes","","ThomasAquinasCollege"
"29","Tulane University","Yes","Yes","Yes","","TulaneUniversity"
"30","University of Illinois at Chicago","Yes","Yes","Yes","","UniversityofIllinoisatChicago"
"31","University of Maryland Robert H Smith School of Business","Yes","?","Yes","","UniversityofMarylandRobertHSmithSchoolofBusiness"
"32","University of New Hampshire","Yes","Yes","Yes","","UniversityofNewHampshire"
"33","University of North Carolina","Yes","Yes","Yes","","UniversityofNorthCarolina"
"34","University of Vermont","Yes","Yes","Yes","","UniversityofVermont"
"35","University of Virginia","Yes","No","Yes","","UniversityofVirginia"
"36","University of Washington","Yes","Yes","Yes","","UniversityofWashington"
"37","Ursuline College","Yes","Yes","?","","UrsulineCollege"
"38","Wake Forest School of Medicine","Yes","No",NA,"","WakeForestSchoolofMedicine"
